title,category,total_seasons,total_episodes,info_links,image_url
鳴鳥不飛 The storm breaks,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/1350""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/1350/1350_141421.webp
YURI！！！ on ICE： ICE ADOLESCENCE,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/1063""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/1063/1063_141421.webp
Lycoris Recoil 莉可麗絲：友誼是時間的竊賊,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5374""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5374/E3xdmnM7YI.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5374/fIBABV1tZ0.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5374/tSjhvnn8tH.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5374/I63sqxb72e.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5374/CnMpw6LNVr.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5374/lnbxIHiXnq.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5374/21LC8g1r3H.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5374/h3xQYPAvfp.webp"
靠死亡遊戲混飯吃。— 44： CLOUDY BEACH,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6353""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6353/1Cw6qimpgb_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6353/NzNrCG5r76.webp"
你與煙火與約定,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6234""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6234/vHeq8xME0P_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6234/1ZWwvrzlr1.webp"
劇場版 吉伊卡哇 人魚島的秘密,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6147""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6147/SnTu3v1zpM_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6147/6D5H6bgQsa.webp"
蠟筆小新：奇奇怪怪！我的妖怪假期,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6171""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6171/CYvDsSnXKw_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6171/7Pcqkt0PF4.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6171/Eq168kF3pj.webp"
るすばん,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6474""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6474/5FB42hEcmN_2x.webp
機動警察 EZY FILE 2,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6403""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6403/qRn21lOxcg_2x.webp
しらぬひ,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6287""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6287/CavZPLbbJu_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6287/bsdjIynbR6.webp"
劇場版 魔法少女小圓〈瓦爾普吉斯的迴天〉,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/1805""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/1805/rYbCVWCoan.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/1805/1805_141421.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/1805/3mhCoEflFV.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/1805/JzVGGCTunS.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/1805/31uUQZXRre.webp"
SEKIRO： NO DEFEAT,2026年日版動畫電影,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6014""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6014/kdMI9zvtIo_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6014/2h67Wap29F.webp"
